产品名称,产品昵称,简称,运营商/平台,单机/网游,细分品类
坦克世界闪击战,,,网易,网游,枪战射击
巴啦啦魔法变身3,,,其他,单机弱联网,休闲益智
迷宫小镇,,,其他,单机弱联网,休闲益智
龙腾传世,,,其他,网游,ARPG
火力前线,,,其他,网游,枪战射击
你胖你先吃,,,其他,网游,休闲益智
喵喵抓娃娃机,,,其他,单机弱联网,休闲益智
巴啦啦小魔仙3D,,,其他,网游,休闲益智
美美小店,,,其他,单机弱联网,模拟经营
Finger Driver,,,其他,单机弱联网,休闲益智
敢达 争锋对决,,,其他,网游,ARPG
欢乐赛车大战,,,其他,网游,休闲益智
刃心,,,其他,单机弱联网,休闲益智
Tap Tap Dash,,,其他,单机弱联网,休闲益智
火线冲突,,,其他,网游,枪战射击
浅塘,,,其他,单机弱联网,休闲益智
数独,,,其他,单机弱联网,休闲益智
加菲猫酷跑,,,其他,单机弱联网,跑酷躲避
宝宝修车店,,,其他,单机弱联网,休闲益智
流言侦探,,,其他,单机弱联网,休闲益智
东方可儿百变彩妆,,,其他,单机弱联网,休闲益智
酷跑奥特曼2,,,其他,单机弱联网,跑酷躲避
Fit,,,其他,单机弱联网,休闲益智
造梦西游4,,,其他,网游,ARPG
逃生力场,,,其他,单机弱联网,休闲益智
宿命契约,,,其他,网游,ARPG
天天爱连线,,,其他,网游,消除
巴啦啦魔法美妆2,,,其他,单机弱联网,休闲益智
撞头赛车,,,其他,单机弱联网,休闲益智
熊熊乐园奔跑吧熊大,,,其他,单机弱联网,跑酷躲避
莉比小公主之冰雪派对,,,其他,单机弱联网,休闲益智
贪吃蛇大战2048,,,其他,单机弱联网,休闲益智
熊出没之机甲熊大,,,其他,单机弱联网,飞行射击
花花姑娘之魔法花园,,,其他,单机弱联网,休闲益智
汤姆猫的摩托艇,,,其他,单机弱联网,跑酷躲避
边境之旅,,,网易,网游,模拟经营
永不言弃2,,,其他,单机弱联网,休闲益智
神兽金刚3荣耀之战,,,其他,网游,ARPG
像素涂色,,,其他,单机弱联网,休闲益智
Stick War: Legacy,,,其他,网游,模拟经营
熊出没奇幻空间,,,其他,网游,赛车竞速
捕鱼游戏王,,,其他,网游,休闲益智
魔法公主礼仪学院,,,其他,单机弱联网,休闲益智
疾风飞车世界,,,其他,网游,赛车竞速
疯狂像素人,,,其他,网游,休闲益智
不要停！八分音符酱,,,其他,网游,休闲益智
贪玩蓝月,,,其他,网游,ARPG
游龙传说,,,其他,网游,ARPG
叶罗丽公主水晶鞋,,,其他,单机弱联网,休闲益智
代号英雄,,,其他,网游,枪战射击
反斗联盟,,,爱奇艺,网游,休闲益智
官居一品,,,其他,网游,模拟经营
水果连连看,,,其他,单机弱联网,消除
华夏,,,腾讯,网游,ARPG
熊出没之熊大快跑2018,,,其他,网游,跑酷躲避
奇妙农场,,,其他,网游,模拟经营
象棋,,,其他,单机弱联网,棋牌
喵星大作战,,,其他,网游,模拟经营
全民岛主,,,腾讯,网游,休闲益智
孤岛先锋,,,网易,网游,枪战射击
猪场怼怼乐,,,网易,网游,休闲益智
奥特曼传奇英雄,,,其他,网游,ARPG
绝地求生 全军出击,,,腾讯,网游,枪战射击
梦间集,,,完美世界,网游,ARPG
偶像梦幻祭,,,腾讯,网游,模拟经营
朕的江山,,,其他,网游,战争策略
老友内蒙麻将,,,其他,网游,棋牌
星悦内蒙麻将,,,其他,网游,棋牌
星悦陕西麻将,,,其他,网游,棋牌
科乐填大坑,,,其他,网游,棋牌
正统三国,,,其他,网游,战争策略
掌上洛克,,,其他,网游,休闲益智
哈灵麻将,,,其他,网游,棋牌
道友请留步,,,其他,网游,回合
三国战纪,,,其他,网游,ARPG
闲逸河南麻将,,,其他,网游,棋牌
堆堆乐,,,其他,网游,休闲益智
加官进爵,,,其他,网游,模拟经营
豪门足球风云,,,其他,网游,体育竞技
心悦吉林麻将,,,其他,网游,棋牌
全民养猪,,,其他,网游,休闲益智
风流王爷,,,其他,网游,模拟经营
放开那三国2,,,其他,网游,卡牌RPG
超级魔幻粒子世界,,,其他,网游,休闲益智
花语学园,,,其他,网游,模拟经营
战斗机模拟飞行,,,其他,网游,飞行射击
神武3,,,其他,网游,回合
同城跑胡子,,,其他,网游,棋牌
龙王传说-斗罗大陆3(正版),,,其他,网游,ARPG
物种起源,,,其他,网游,模拟经营
魔幻粒子-炫彩烟花,,,其他,单机弱联网,休闲益智
琅琊榜：风起长林,,,爱奇艺,网游,MMO
太行麻将,,,其他,单机弱联网,棋牌
荒野求生,,,其他,网游,枪战射击
不速之客,,,其他,单机弱联网,休闲益智
正义枪战,,,其他,网游,枪战射击
街机台球大师,,,其他,单机弱联网,棋牌
三国群英传-霸王之业,,,腾讯,网游,战争策略
决斗之城,,,其他,网游,战争策略
指尖陀螺,,,其他,网游,休闲益智
永远的7日之都,,,网易,网游,ARPG
采油小怪2：生日派对,,,其他,网游,休闲益智
画你的车,,,其他,网游,休闲益智
多乐够级,,,其他,单机弱联网,棋牌
开心抓抓乐,,,其他,网游,休闲益智
仙灵觉醒,,,其他,网游,回合
神手麻将,,,其他,网游,棋牌
